iter	MultiClass
0	1.209869899
1	1.088053524
2	0.9917393797
3	0.9212065103
4	0.8676962409
5	0.8221851927
6	0.7876389241
7	0.7567482818
8	0.7179728817
9	0.6850109827
10	0.6616129154
11	0.6365839344
12	0.6151838278
13	0.5951802372
14	0.5779816663
15	0.5683671793
16	0.5548256582
17	0.543477764
18	0.5314062355
19	0.5233131282
20	0.5101133037
21	0.5013650045
22	0.4948735183
23	0.4880346734
24	0.4801725053
25	0.472987007
26	0.4680626013
27	0.4658034669
28	0.4632476204
29	0.4600104947
30	0.4549848508
31	0.4492981949
32	0.4474565257
33	0.4423426342
34	0.4379465747
35	0.4369375699
36	0.4353889021
37	0.4343164834
38	0.4315604382
39	0.4280100738
40	0.4260708182
41	0.4237866954
42	0.4212062083
43	0.4192019485
44	0.418393078
45	0.4170486642
46	0.4151269828
47	0.4131564215
48	0.4106212467
49	0.4092321027
50	0.4078890399
51	0.4065595585
52	0.4057991373
53	0.4054744759
54	0.4050123166
55	0.4026796913
56	0.4022324208
57	0.4017871142
58	0.4014884411
59	0.4009444637
60	0.4005789157
61	0.4000219948
62	0.3989886925
63	0.3982953145
64	0.3977601694
65	0.3971485482
66	0.3960119625
67	0.3956541547
68	0.395214703
69	0.3949212441
70	0.3941696497
71	0.3935340551
72	0.3918291122
73	0.3912390868
74	0.3905648924
75	0.3892528554
76	0.3889301495
77	0.3883232685
78	0.3866458884
79	0.3865605606
80	0.3862877678
81	0.3861352611
82	0.3856814358
83	0.3855205982
84	0.3849764423
85	0.3845263995
86	0.3842055198
87	0.3833780302
88	0.3829839754
89	0.3824337652
90	0.3821186895
91	0.3819525648
92	0.3802575571
93	0.3799446082
94	0.3789248236
95	0.3786865077
96	0.3777149626
97	0.3773631098
98	0.37520784
99	0.3747865301
