iter	Passed	Remaining
0	189	18732
1	199	9798
2	213	6906
3	222	5343
4	228	4344
5	233	3660
6	240	3189
7	245	2823
8	251	2545
9	257	2318
10	263	2128
11	269	1979
12	275	1845
13	285	1753
14	294	1671
15	303	1592
16	311	1520
17	323	1475
18	335	1428
19	343	1375
20	353	1329
21	360	1278
22	368	1233
23	375	1190
24	384	1154
25	391	1115
26	401	1085
27	423	1088
28	432	1059
29	438	1023
30	444	989
31	451	958
32	456	926
33	461	896
34	468	869
35	474	843
36	479	816
37	485	792
38	491	768
39	496	744
40	502	722
41	508	701
42	514	682
43	519	661
44	526	643
45	531	624
46	537	605
47	543	588
48	548	571
49	553	553
50	560	538
51	565	521
52	570	505
53	576	491
54	581	475
55	586	460
56	593	447
57	598	433
58	602	418
59	609	406
60	614	392
61	619	379
62	625	367
63	631	355
64	638	343
65	643	331
66	650	320
67	655	308
68	659	296
69	666	285
70	671	274
71	676	263
72	683	252
73	688	242
74	693	231
75	701	221
76	705	210
77	710	200
78	718	190
79	722	180
80	727	170
81	733	161
82	738	151
83	743	141
84	750	132
85	755	122
86	761	113
87	768	104
88	775	95
89	781	86
90	787	77
91	794	69
92	800	60
93	807	51
94	812	42
95	819	34
96	825	25
97	830	16
98	837	8
99	842	0
